Squadra_LFM,Id,Prezzo
EINTRACHT FRANCOFORTE,6217,1
EINTRACHT FRANCOFORTE,6202,1
EINTRACHT FRANCOFORTE,6060,80
EINTRACHT FRANCOFORTE,5888,1
EINTRACHT FRANCOFORTE,5833,1
EINTRACHT FRANCOFORTE,5831,1
EINTRACHT FRANCOFORTE,5800,1
EINTRACHT FRANCOFORTE,5687,1
EINTRACHT FRANCOFORTE,5685,1
EINTRACHT FRANCOFORTE,5562,1
EINTRACHT FRANCOFORTE,5559,1
EINTRACHT FRANCOFORTE,5119,1
EINTRACHT FRANCOFORTE,5116,1
EINTRACHT FRANCOFORTE,5022,1
EINTRACHT FRANCOFORTE,4976,1
EINTRACHT FRANCOFORTE,4871,1
EINTRACHT FRANCOFORTE,4431,1
EINTRACHT FRANCOFORTE,4236,25
EINTRACHT FRANCOFORTE,2848,1
EINTRACHT FRANCOFORTE,2531,1
EINTRACHT FRANCOFORTE,4,6
$,$,$
Leicester City Football Club,7353,1
Leicester City Football Club,7274,1
Leicester City Football Club,7253,6
Leicester City Football Club,7162,22
Leicester City Football Club,7155,9
Leicester City Football Club,7126,20
Leicester City Football Club,7028,4
Leicester City Football Club,6966,1
Leicester City Football Club,6766,15
Leicester City Football Club,6439,4
Leicester City Football Club,6164,25
Leicester City Football Club,6151,25
Leicester City Football Club,6039,4
Leicester City Football Club,5844,16
Leicester City Football Club,5585,165
Leicester City Football Club,5514,1
Leicester City Football Club,5504,8
Leicester City Football Club,5022,1
Leicester City Football Club,4923,1
Leicester City Football Club,4777,1
Leicester City Football Club,4463,1
Leicester City Football Club,4436,1
Leicester City Football Club,4431,1
Leicester City Football Club,2832,8
Leicester City Football Club,2678,50
Leicester City Football Club,2593,1
Leicester City Football Club,2528,11
Leicester City Football Club,2489,13
Leicester City Football Club,2120,1
Leicester City Football Club,1933,15
Leicester City Football Club,827,1
Leicester City Football Club,393,1
Leicester City Football Club,333,15
Leicester City Football Club,313,75
Leicester City Football Club,4,0
$,$,$
Bayer 04 Leverkusen,7357,1
Bayer 04 Leverkusen,7223,103
Bayer 04 Leverkusen,7212,22
Bayer 04 Leverkusen,7146,4
Bayer 04 Leverkusen,7012,2
Bayer 04 Leverkusen,6842,1
Bayer 04 Leverkusen,6836,4
Bayer 04 Leverkusen,6766,10
Bayer 04 Leverkusen,6631,3
Bayer 04 Leverkusen,6462,1
Bayer 04 Leverkusen,6190,3
Bayer 04 Leverkusen,6042,1
Bayer 04 Leverkusen,5739,1
Bayer 04 Leverkusen,5674,8
Bayer 04 Leverkusen,5526,1
Bayer 04 Leverkusen,4923,1
Bayer 04 Leverkusen,4502,1
Bayer 04 Leverkusen,4465,8
Bayer 04 Leverkusen,4312,1
Bayer 04 Leverkusen,2841,154
Bayer 04 Leverkusen,2815,1
Bayer 04 Leverkusen,2764,1
Bayer 04 Leverkusen,2724,1
Bayer 04 Leverkusen,2423,1
Bayer 04 Leverkusen,2167,1
Bayer 04 Leverkusen,2061,1
Bayer 04 Leverkusen,788,1
Bayer 04 Leverkusen,787,1
Bayer 04 Leverkusen,543,1
Bayer 04 Leverkusen,531,150
Bayer 04 Leverkusen,333,41
Bayer 04 Leverkusen,27,1
$,$,$
Futbol Club Barcelona,7309,9
Futbol Club Barcelona,7143,24
Futbol Club Barcelona,6989,9
Futbol Club Barcelona,6967,1
Futbol Club Barcelona,6643,8
Futbol Club Barcelona,6434,1
Futbol Club Barcelona,6424,6
Futbol Club Barcelona,5831,1
Futbol Club Barcelona,5791,1
Futbol Club Barcelona,5734,1
Futbol Club Barcelona,5453,1
Futbol Club Barcelona,5116,6
Futbol Club Barcelona,5022,1
Futbol Club Barcelona,4994,1
Futbol Club Barcelona,4976,1
